record_id,icc_value,estimation_method,no_individuals,individual_level,no_clusters,cluster_level,cvc_size,outcome_description,outcome_description_text,outcome_description_global,primary_outcome,outcome_type,outcome_other,study_acronym,study_design,design_other,publication_link
1,1,f,3,33,22,2,1,Other,test1,test1,1,,,,,,
2,,,,,,,,Other,test2,test2,,,,,,,
3,,,,,,,,Other,test3,test3,,,,,,,
4,,,,,,,,Other,test4,test4,,,,,,,
5,0.05,,,Patients,,Hospital,,Other,CD4,CD4,,,,,,,dfg
6,0.05,LMM,1500,Patient,30,Hospital,0.3,Other,QOL,QOL,1,2,,TEST,1,,dfg
7,1.5,gee,4,dogs,9,house,-2,CD4,,CD4,1,1,,na,1,,pctu
8,1.2,adas,-1,yry,0,44,2,QOL,,QOL,9999,4,,woo,5,,www.google.com
9,-8,jhkhkj,0,ghh,8888,gds,4,Other,ghgh,ghgh,,2,,ggg,2,,gcgch
10,1,fdgfgdf,0,ghfhgf,1,dfgfdg,-1,test3,,test3,1,3,,fgfggh,2,,33
